Employee_ID,Date,Print_Count,Print_Volume_MB,Odd_Hours_Print_Count,Odd_Hours_Print_Volume_MB,Total_Presence_Hours,Odd_Hours_Entry,Foreign_Travel_Count,Travel_To_Hostile_Countries_Count,Country_Of_Origin,Country_Risk_Score,Foreign_Citizenship,Criminal_Record,Medical_Issues,Security_Violations,Disciplinary_Actions,Suspicious_Flag
37,2023-01-03,2.0,4.0,0.4,0.8,8.1,Yes,0,0,USA,2,Yes,No,No,No,No,0
57,2023-01-03,2.4,4.8,0.1,0.2,8.6,Yes,0,0,USA,2,Yes,No,No,No,No,0
64,2023-01-03,2.3,4.6,0.4,0.8,8.9,Yes,1,0,USA,2,Yes,No,No,No,No,0
78,2023-01-03,0.4,0.8,0.4,0.8,8.7,Yes,1,0,Israel,1,No,No,No,No,No,0
84,2023-01-03,4.7,9.4,0.6,1.2,9.2,Yes,1,0,Lebanon,8,Yes,No,No,No,No,1
96,2023-01-03,2.7,5.4,0.3,0.6,8.2,Yes,0,0,France,2,Yes,No,No,No,No,0
101,2023-01-03,1.7,3.4,0.4,0.8,8.7,Yes,1,0,Italy,2,Yes,No,No,No,No,0
102,2023-01-03,1.7,3.4,0.2,0.4,8.8,Yes,1,0,Italy,2,Yes,No,No,No,No,0
103,2023-01-03,4.9,9.8,0.5,1.0,9.1,Yes,1,1,Ukraine,7,Yes,No,No,No,No,1
119,2023-01-03,2.5,5.0,0.5,1.0,8.6,Yes,0,0,USA,2,No,No,Yes,No,No,0
132,2023-01-03,0.4,0.8,0.3,0.6,8.2,Yes,1,0,Japan,2,Yes,No,No,No,No,0
142,2023-01-03,2.8,5.6,0.3,0.6,8.1,Yes,0,0,Japan,2,No,No,No,No,No,0
163,2023-01-03,4.5,9.0,0.9,1.8,9.0,Yes,1,0,Russia,8,Yes,Yes,No,No,Yes,1
194,2023-01-03,1.8,3.6,0.4,0.8,8.2,Yes,0,0,USA,2,Yes,No,No,No,No,0
3,2023-01-04,0.5,1.0,0.3,0.6,8.9,Yes,1,0,Israel,1,Yes,No,No,No,No,0
25,2023-01-04,1.3,2.6,0.4,0.8,8.5,Yes,0,0,Japan,2,Yes,No,No,No,No,0
37,2023-01-04,0.9,1.8,0.2,0.4,8.8,Yes,1,0,Spain,2,Yes,No,No,No,No,0
52,2023-01-04,1.9,3.8,0.4,0.8,8.8,Yes,0,0,Germany,2,Yes,No,No,No,No,0
59,2023-01-04,1.6,3.2,0.5,1.0,8.3,Yes,1,0,Germany,2,Yes,No,No,No,No,0
69,2023-01-04,0.2,0.4,0.4,0.8,8.2,Yes,0,0,Japan,2,Yes,No,No,No,No,0
79,2023-01-04,0.4,0.8,0.2,0.4,8.0,Yes,1,0,UK,2,Yes,No,No,No,No,0
89,2023-01-04,0.3,0.6,0.4,0.8,8.9,Yes,0,0,Germany,2,Yes,No,No,No,No,0
102,2023-01-04,2.3,4.6,0.4,0.8,8.7,Yes,0,0,Germany,2,Yes,No,No,No,No,0
113,2023-01-04,1.2,2.4,0.3,0.6,8.7,Yes,1,0,Spain,2,Yes,No,Yes,No,No,0
114,2023-01-04,1.2,2.4,0.4,0.8,8.4,Yes,0,0,Japan,2,Yes,No,Yes,No,No,0
115,2023-01-04,0.8,1.6,0.1,0.2,8.9,Yes,0,0,USA,2,Yes,No,No,No,No,0
134,2023-01-04,1.3,2.6,0.2,0.4,8.8,Yes,0,0,USA,2,Yes,No,Yes,No,No,0
171,2023-01-04,2.1,4.2,0.3,0.6,8.7,Yes,0,0,France,2,Yes,No,No,No,No,0
175,2023-01-04,1.1,2.2,0.5,1.0,8.7,Yes,1,0,USA,2,Yes,No,No,No,No,0
188,2023-01-04,1.7,3.4,0.2,0.4,8.2,Yes,0,0,Italy,2,Yes,No,No,No,No,0
199,2023-01-04,2.1,4.2,0.3,0.6,8.4,Yes,0,0,Italy,2,No,No,No,No,No,0
9,2023-01-05,6.1,12.2,1.4,2.8,10.2,Yes,1,1,Syria,9,No,No,No,No,No,1
12,2023-01-05,0.9,1.8,0.1,0.2,9.0,Yes,1,0,France,2,Yes,No,Yes,No,No,0
19,2023-01-05,2.3,4.6,0.1,0.2,8.4,Yes,1,0,USA,2,Yes,No,No,No,No,0
24,2023-01-05,1.7,3.4,0.2,0.4,8.4,Yes,1,0,Israel,1,No,No,No,No,No,0
24,2023-01-05,2.7,5.4,0.4,0.8,8.3,Yes,0,0,Japan,2,Yes,No,No,No,No,0
61,2023-01-05,1.5,3.0,0.4,0.8,8.9,Yes,0,0,USA,2,Yes,No,No,No,No,0
73,2023-01-05,4.1,8.2,0.7,1.4,9.0,Yes,1,1,Syria,9,Yes,No,Yes,No,No,1
91,2023-01-05,1.6,3.2,0.2,0.4,8.9,Yes,0,0,Germany,2,Yes,No,No,No,No,0
96,2023-01-05,3.0,6.0,0.5,1.0,8.4,Yes,1,0,Germany,2,Yes,No,No,No,No,0
106,2023-01-05,1.6,3.2,0.0,0.0,8.8,No,1,0,UK,2,Yes,No,Yes,No,No,0
121,2023-01-05,2.8,5.6,0.4,0.8,8.3,Yes,0,0,Italy,2,Yes,No,No,No,No,0
131,2023-01-05,2.7,5.4,0.1,0.2,8.4,Yes,1,0,Israel,1,Yes,No,No,No,No,0
140,2023-01-05,2.6,5.2,0.1,0.2,8.6,Yes,1,0,France,2,Yes,No,No,No,No,0
167,2023-01-05,0.2,0.4,0.4,0.8,8.4,Yes,0,0,Japan,2,Yes,No,No,No,No,0
6,2023-01-06,1.0,2.0,0.2,0.4,8.2,Yes,1,0,Germany,2,Yes,No,No,No,No,0
20,2023-01-06,1.9,3.8,0.3,0.6,8.1,Yes,0,0,Germany,2,Yes,No,No,No,No,0
20,2023-01-06,1.8,3.6,0.1,0.2,8.5,Yes,0,0,USA,2,Yes,No,No,No,No,0
22,2023-01-06,3.0,6.0,0.4,0.8,8.1,Yes,0,0,France,2,Yes,No,No,No,No,0
27,2023-01-06,2.6,5.2,0.2,0.4,8.2,Yes,1,0,USA,2,No,No,No,No,No,0
31,2023-01-06,1.0,2.0,0.3,0.6,8.4,Yes,0,0,UK,2,Yes,No,No,No,No,0
45,2023-01-06,1.5,3.0,0.4,0.8,8.7,Yes,1,0,Italy,2,Yes,No,No,No,No,0
83,2023-01-06,2.1,4.2,0.2,0.4,8.9,Yes,1,0,Italy,2,Yes,No,No,No,No,0
96,2023-01-06,0.6,1.2,0.3,0.6,8.7,Yes,1,0,Israel,1,No,No,No,No,No,0
100,2023-01-06,1.9,3.8,0.4,0.8,8.9,Yes,1,0,Italy,2,Yes,No,No,No,No,0
115,2023-01-06,1.5,3.0,0.3,0.6,8.9,Yes,1,0,Italy,2,Yes,No,No,No,No,0
115,2023-01-06,1.4,2.8,0.0,0.0,8.9,No,0,0,Israel,1,No,No,No,No,No,0
117,2023-01-06,2.5,5.0,0.3,0.6,8.6,Yes,1,0,Spain,2,Yes,No,No,No,No,0
121,2023-01-06,1.6,3.2,0.2,0.4,8.1,Yes,0,0,France,2,Yes,No,No,No,No,0
142,2023-01-06,0.4,0.8,0.2,0.4,8.7,Yes,1,0,Spain,2,Yes,No,No,No,No,0
155,2023-01-06,2.2,4.4,0.4,0.8,8.5,Yes,0,0,Japan,2,Yes,No,No,No,No,0
177,2023-01-06,1.3,2.6,0.4,0.8,8.5,Yes,1,0,USA,2,No,No,No,No,No,0
188,2023-01-06,5.3,10.6,1.4,2.8,10.2,Yes,2,1,Lebanon,8,Yes,No,No,Yes,No,1
39,2023-01-07,1.3,2.6,0.3,0.6,8.7,Yes,0,0,Japan,2,Yes,No,No,No,No,0
58,2023-01-07,1.9,3.8,0.2,0.4,8.8,Yes,0,0,Spain,2,Yes,No,No,No,No,0
65,2023-01-07,1.2,2.4,0.3,0.6,8.7,Yes,0,0,Italy,2,Yes,No,No,No,No,0
70,2023-01-07,0.6,1.2,0.4,0.8,8.7,Yes,0,0,Spain,2,Yes,No,No,No,No,0
148,2023-01-07,2.3,4.6,0.5,1.0,8.4,Yes,0,0,France,2,Yes,No,No,No,No,0
167,2023-01-07,1.7,3.4,0.0,0.0,8.7,No,1,0,USA,2,Yes,No,No,No,No,0
172,2023-01-07,0.9,1.8,0.3,0.6,8.5,Yes,1,0,Spain,2,Yes,No,No,No,No,0
45,2023-01-08,2.6,5.2,0.4,0.8,8.2,Yes,1,0,UK,2,Yes,No,No,No,No,0
61,2023-01-08,0.7,1.4,0.4,0.8,8.3,Yes,0,0,Japan,2,Yes,No,No,No,No,0
63,2023-01-08,2.3,4.6,0.2,0.4,8.5,Yes,0,0,USA,2,Yes,No,Yes,No,No,0
67,2023-01-08,1.8,3.6,0.1,0.2,8.5,Yes,0,0,Italy,2,Yes,No,No,No,No,0
92,2023-01-08,1.1,2.2,0.3,0.6,8.8,Yes,0,0,Italy,2,Yes,No,No,No,No,0
94,2023-01-08,1.1,2.2,0.3,0.6,8.3,Yes,1,0,USA,2,Yes,No,No,No,No,0
129,2023-01-08,2.3,4.6,0.3,0.6,8.7,Yes,0,0,Japan,2,Yes,No,No,No,No,0
161,2023-01-08,2.2,4.4,0.4,0.8,9.0,Yes,0,0,Spain,2,Yes,No,Yes,No,No,0
162,2023-01-08,1.5,3.0,0.4,0.8,8.4,Yes,1,0,Japan,2,Yes,No,No,No,No,0
163,2023-01-08,0.0,0.0,0.0,0.0,8.5,No,1,0,Germany,2,Yes,No,No,No,No,0
197,2023-01-08,2.0,4.0,0.2,0.4,8.8,Yes,0,0,UK,2,Yes,No,No,No,No,0
19,2023-01-09,2.5,5.0,0.0,0.0,8.2,No,1,0,UK,2,No,No,Yes,No,No,0
61,2023-01-09,2.7,5.4,0.4,0.8,8.5,Yes,0,0,UK,2,Yes,No,No,No,No,0
62,2023-01-09,2.8,5.6,0.1,0.2,8.9,Yes,0,0,France,2,Yes,No,No,No,No,0
92,2023-01-09,2.5,5.0,0.2,0.4,8.8,Yes,0,0,USA,2,Yes,No,No,No,No,0
101,2023-01-09,4.7,9.4,0.5,1.0,8.9,Yes,1,0,North Korea,10,Yes,Yes,No,No,No,1
106,2023-01-09,1.5,3.0,0.3,0.6,8.6,Yes,1,0,Spain,2,Yes,No,No,No,No,0
147,2023-01-09,0.0,0.0,0.3,0.6,8.5,Yes,0,0,Germany,2,Yes,No,Yes,No,No,0
167,2023-01-09,2.7,5.4,0.2,0.4,8.6,Yes,0,0,UK,2,Yes,No,No,No,No,0
176,2023-01-09,1.9,3.8,0.4,0.8,8.7,Yes,0,0,Japan,2,Yes,No,No,No,No,0
40,2023-01-10,0.8,1.6,0.4,0.8,8.0,Yes,0,0,UK,2,Yes,No,No,No,No,0
44,2023-01-10,0.5,1.0,0.2,0.4,8.5,Yes,1,0,Spain,2,Yes,No,No,No,No,0
53,2023-01-10,1.2,2.4,0.2,0.4,8.8,Yes,1,0,USA,2,Yes,No,No,No,No,0
82,2023-01-10,2.5,5.0,0.5,1.0,8.7,Yes,1,0,Israel,1,No,No,No,No,No,0
110,2023-01-10,0.8,1.6,0.1,0.2,8.2,Yes,0,0,Spain,2,Yes,No,No,No,No,0
115,2023-01-10,2.1,4.2,0.2,0.4,8.7,Yes,1,0,Japan,2,No,No,No,No,No,0
158,2023-01-10,0.3,0.6,0.3,0.6,8.4,Yes,0,0,Spain,2,Yes,No,No,No,No,0
172,2023-01-10,0.6,1.2,0.2,0.4,8.4,Yes,1,0,UK,2,Yes,No,No,No,No,0
180,2023-01-10,0.6,1.2,0.4,0.8,8.2,Yes,0,0,Japan,2,Yes,No,No,No,No,0
3,2023-01-11,0.3,0.6,0.2,0.4,8.4,Yes,1,0,Israel,1,No,No,No,No,No,0
7,2023-01-11,3.0,6.0,0.1,0.2,8.7,Yes,1,0,France,2,Yes,No,No,No,No,0
8,2023-01-11,2.5,5.0,0.5,1.0,8.4,Yes,1,0,France,2,Yes,No,No,No,No,0
21,2023-01-11,1.6,3.2,0.5,1.0,8.1,Yes,0,0,Germany,2,Yes,No,Yes,No,No,0
47,2023-01-11,1.9,3.8,0.5,1.0,8.7,Yes,1,0,Israel,1,No,No,No,No,No,0
81,2023-01-11,0.5,1.0,0.5,1.0,8.3,Yes,1,0,Japan,2,Yes,No,No,No,No,0
84,2023-01-11,1.0,2.0,0.4,0.8,8.7,Yes,0,0,Spain,2,Yes,No,No,No,No,0
93,2023-01-11,2.4,4.8,0.2,0.4,8.7,Yes,1,0,Italy,2,Yes,No,No,No,No,0
105,2023-01-11,1.6,3.2,0.3,0.6,8.3,Yes,1,0,Italy,2,Yes,No,No,No,No,0
119,2023-01-11,0.1,0.2,0.2,0.4,8.9,Yes,1,0,Germany,2,Yes,No,Yes,No,No,0
153,2023-01-11,1.1,2.2,0.2,0.4,8.1,Yes,0,0,USA,2,Yes,No,Yes,No,No,0
6,2023-01-12,2.9,5.8,0.1,0.2,8.2,Yes,1,0,Japan,2,Yes,No,Yes,No,No,0
26,2023-01-12,1.4,2.8,0.0,0.0,8.5,No,1,0,Israel,1,No,No,No,No,No,0
44,2023-01-12,0.8,1.6,0.3,0.6,8.8,Yes,1,0,Italy,2,Yes,No,No,No,No,0
44,2023-01-12,1.6,3.2,0.2,0.4,8.9,Yes,0,0,USA,2,Yes,No,Yes,No,No,0
51,2023-01-12,1.5,3.0,0.2,0.4,8.4,Yes,1,0,Israel,1,No,No,No,No,No,0
75,2023-01-12,0.1,0.2,0.4,0.8,8.6,Yes,1,0,Germany,2,Yes,No,No,No,No,0
78,2023-01-12,0.8,1.6,0.0,0.0,8.2,No,0,0,Germany,2,Yes,No,No,No,No,0
87,2023-01-12,2.6,5.2,0.4,0.8,8.8,Yes,1,0,Japan,2,Yes,No,No,No,No,0
100,2023-01-12,4.6,9.2,0.9,1.8,9.2,Yes,0,1,Lebanon,8,No,No,No,Yes,Yes,1
100,2023-01-12,1.4,2.8,0.1,0.2,8.6,Yes,0,0,Italy,2,Yes,No,Yes,No,No,0
124,2023-01-12,2.6,5.2,0.2,0.4,8.6,Yes,1,0,UK,2,Yes,No,No,No,No,0
127,2023-01-12,2.1,4.2,0.1,0.2,8.7,Yes,0,0,Italy,2,No,No,No,No,No,0
159,2023-01-12,0.3,0.6,0.2,0.4,8.8,Yes,0,0,Germany,2,Yes,No,No,No,No,0
165,2023-01-12,2.2,4.4,0.5,1.0,8.5,Yes,1,0,Spain,2,Yes,No,No,No,No,0
192,2023-01-12,1.0,2.0,0.3,0.6,8.2,Yes,0,0,Israel,1,No,No,No,No,No,0
9,2023-01-13,1.7,3.4,0.2,0.4,8.4,Yes,0,0,France,2,No,No,No,No,No,0
13,2023-01-13,1.8,3.6,0.4,0.8,8.6,Yes,0,0,USA,2,Yes,No,No,No,No,0
23,2023-01-13,0.1,0.2,0.2,0.4,8.6,Yes,0,0,USA,2,Yes,No,No,No,No,0
36,2023-01-13,2.0,4.0,0.0,0.0,8.1,No,0,0,Germany,2,Yes,No,No,No,No,0
81,2023-01-13,2.9,5.8,0.5,1.0,8.7,Yes,1,0,Spain,2,Yes,No,No,No,No,0
93,2023-01-13,1.2,2.4,0.3,0.6,8.7,Yes,1,0,Germany,2,Yes,No,No,No,No,0
122,2023-01-13,1.9,3.8,0.0,0.0,8.4,No,1,0,Germany,2,Yes,No,No,No,No,0
133,2023-01-13,1.3,2.6,0.2,0.4,8.7,Yes,0,0,Israel,1,No,No,No,No,No,0
143,2023-01-13,0.2,0.4,0.5,1.0,8.1,Yes,1,0,Israel,1,No,No,No,No,No,0
161,2023-01-13,2.6,5.2,0.5,1.0,8.6,Yes,0,0,Italy,2,Yes,No,No,No,No,0
195,2023-01-13,1.3,2.6,0.4,0.8,8.4,Yes,0,0,UK,2,Yes,No,No,No,No,0
16,2023-01-14,1.8,3.6,0.4,0.8,9.0,Yes,0,0,UK,2,Yes,No,No,No,No,0
18,2023-01-14,0.8,1.6,0.3,0.6,8.8,Yes,0,0,Israel,1,Yes,No,No,No,No,0
35,2023-01-14,2.0,4.0,0.0,0.0,8.8,No,1,0,Japan,2,Yes,No,No,No,No,0
38,2023-01-14,0.4,0.8,0.2,0.4,8.1,Yes,0,0,Spain,2,Yes,No,No,No,No,0
43,2023-01-14,0.9,1.8,0.3,0.6,8.9,Yes,1,0,Israel,1,No,No,No,No,No,0
50,2023-01-14,0.3,0.6,0.1,0.2,8.4,Yes,1,0,USA,2,Yes,No,No,No,No,0
84,2023-01-14,2.7,5.4,0.1,0.2,8.7,Yes,1,0,Germany,2,Yes,No,No,No,No,0
91,2023-01-14,2.1,4.2,0.1,0.2,8.3,Yes,1,0,UK,2,Yes,No,No,No,No,0
95,2023-01-14,0.3,0.6,0.1,0.2,8.4,Yes,1,0,Israel,1,No,No,No,No,No,0
103,2023-01-14,1.6,3.2,0.2,0.4,8.5,Yes,0,0,USA,2,Yes,No,No,No,No,0
105,2023-01-14,1.6,3.2,0.4,0.8,8.7,Yes,1,0,Germany,2,No,No,No,No,No,0
111,2023-01-14,0.4,0.8,0.4,0.8,8.4,Yes,0,0,Germany,2,Yes,No,No,No,No,0
121,2023-01-14,2.8,5.6,0.3,0.6,8.9,Yes,0,0,Italy,2,Yes,No,No,No,No,0
125,2023-01-14,2.2,4.4,0.2,0.4,8.6,Yes,1,0,Italy,2,Yes,No,Yes,No,No,0
127,2023-01-14,2.1,4.2,0.3,0.6,8.5,Yes,0,0,Germany,2,Yes,No,Yes,No,No,0
166,2023-01-14,0.1,0.2,0.3,0.6,8.7,Yes,0,0,USA,2,Yes,No,No,No,No,0
174,2023-01-14,1.8,3.6,0.3,0.6,8.7,Yes,1,0,USA,2,Yes,No,Yes,No,No,0
185,2023-01-14,1.1,2.2,0.2,0.4,8.7,Yes,1,0,UK,2,Yes,No,No,No,No,0
190,2023-01-14,2.9,5.8,0.2,0.4,8.3,Yes,0,0,Spain,2,Yes,No,No,No,No,0
66,2023-01-15,1.4,2.8,0.1,0.2,8.3,Yes,0,0,Italy,2,Yes,No,No,No,No,0
88,2023-01-15,0.4,0.8,0.0,0.0,8.5,No,1,0,Spain,2,Yes,No,No,No,No,0
108,2023-01-15,2.5,5.0,0.1,0.2,8.3,Yes,0,0,Italy,2,Yes,No,No,No,No,0
118,2023-01-15,2.0,4.0,0.2,0.4,8.2,Yes,0,0,France,2,Yes,No,No,No,No,0
120,2023-01-15,1.3,2.6,0.4,0.8,9.0,Yes,0,0,Italy,2,Yes,No,No,No,No,0
123,2023-01-15,0.0,0.0,0.4,0.8,8.9,Yes,1,0,Japan,2,Yes,No,No,No,No,0
136,2023-01-15,1.5,3.0,0.2,0.4,8.5,Yes,0,0,Spain,2,Yes,No,No,No,No,0
153,2023-01-15,1.9,3.8,0.4,0.8,8.9,Yes,1,0,UK,2,Yes,No,No,No,No,0
155,2023-01-15,1.4,2.8,0.4,0.8,8.6,Yes,1,0,UK,2,Yes,No,No,No,No,0
161,2023-01-15,1.6,3.2,0.3,0.6,8.3,Yes,1,0,UK,2,No,No,No,No,No,0
172,2023-01-15,1.6,3.2,0.4,0.8,8.5,Yes,1,0,Japan,2,Yes,No,No,No,No,0
187,2023-01-15,1.6,3.2,0.4,0.8,9.0,Yes,1,0,USA,2,Yes,No,No,No,No,0
26,2023-01-16,3.0,6.0,0.2,0.4,8.3,Yes,1,0,Italy,2,Yes,No,No,No,No,0
35,2023-01-16,1.7,3.4,0.1,0.2,8.8,Yes,0,0,Germany,2,Yes,No,No,No,No,0
43,2023-01-16,0.4,0.8,0.0,0.0,8.2,No,0,0,Spain,2,Yes,No,No,No,No,0
52,2023-01-16,0.2,0.4,0.5,1.0,8.5,Yes,0,0,Japan,2,Yes,No,No,No,No,0
65,2023-01-16,1.0,2.0,0.0,0.0,8.5,No,0,0,France,2,Yes,No,No,No,No,0
108,2023-01-16,1.1,2.2,0.4,0.8,8.1,Yes,0,0,Spain,2,Yes,No,No,No,No,0
108,2023-01-16,0.7,1.4,0.5,1.0,8.0,Yes,0,0,Italy,2,Yes,No,No,No,No,0
125,2023-01-16,3.6,7.2,0.8,1.6,9.1,Yes,1,0,Lebanon,8,Yes,No,No,No,No,1
198,2023-01-16,2.2,4.4,0.1,0.2,8.9,Yes,0,0,UK,2,Yes,No,No,No,No,0
48,2023-01-17,0.7,1.4,0.1,0.2,8.5,Yes,1,0,France,2,No,No,No,No,No,0
53,2023-01-17,1.6,3.2,0.1,0.2,8.6,Yes,0,0,Spain,2,Yes,No,No,No,No,0
70,2023-01-17,0.8,1.6,0.5,1.0,8.7,Yes,1,0,Israel,1,No,No,No,No,No,0
78,2023-01-17,2.3,4.6,0.2,0.4,8.1,Yes,1,0,USA,2,Yes,No,Yes,No,No,0
79,2023-01-17,2.9,5.8,0.2,0.4,8.8,Yes,1,0,Germany,2,Yes,No,No,No,No,0
97,2023-01-17,0.1,0.2,0.3,0.6,8.2,Yes,1,0,Spain,2,Yes,No,No,No,No,0
121,2023-01-17,0.2,0.4,0.5,1.0,8.9,Yes,0,0,Spain,2,Yes,No,No,No,No,0
132,2023-01-17,3.0,6.0,0.3,0.6,8.4,Yes,1,0,UK,2,Yes,No,No,No,No,0
143,2023-01-17,0.8,1.6,0.2,0.4,8.7,Yes,0,0,UK,2,Yes,No,No,No,No,0
156,2023-01-17,0.5,1.0,0.1,0.2,8.0,Yes,1,0,Israel,1,Yes,No,No,No,No,0
164,2023-01-17,2.5,5.0,0.5,1.0,8.6,Yes,0,0,Israel,1,Yes,No,Yes,No,No,0
170,2023-01-17,0.2,0.4,0.4,0.8,8.8,Yes,1,0,Italy,2,Yes,No,Yes,No,No,0
177,2023-01-17,2.0,4.0,0.3,0.6,8.8,Yes,0,0,UK,2,Yes,No,No,No,No,0
189,2023-01-17,1.0,2.0,0.0,0.0,8.4,No,0,0,France,2,Yes,No,No,No,No,0
191,2023-01-17,0.4,0.8,0.4,0.8,8.4,Yes,1,0,Japan,2,Yes,No,Yes,No,No,0
196,2023-01-17,2.5,5.0,0.2,0.4,8.1,Yes,0,0,Japan,2,Yes,No,No,No,No,0
25,2023-01-18,2.4,4.8,0.0,0.0,8.9,No,0,0,Germany,2,Yes,No,No,No,No,0
62,2023-01-18,2.8,5.6,0.5,1.0,8.5,Yes,1,0,USA,2,Yes,No,No,No,No,0
79,2023-01-18,1.5,3.0,0.2,0.4,8.3,Yes,1,0,UK,2,Yes,No,No,No,No,0
95,2023-01-18,0.2,0.4,0.5,1.0,8.1,Yes,0,0,France,2,Yes,No,Yes,No,No,0
95,2023-01-18,2.6,5.2,0.2,0.4,9.0,Yes,0,0,Israel,1,No,No,No,No,No,0
99,2023-01-18,2.5,5.0,0.3,0.6,8.9,Yes,1,0,Spain,2,Yes,No,No,No,No,0
128,2023-01-18,2.8,5.6,0.0,0.0,8.2,No,0,0,France,2,Yes,No,Yes,No,No,0
153,2023-01-18,0.9,1.8,0.5,1.0,8.6,Yes,0,0,Japan,2,Yes,No,No,No,No,0
161,2023-01-18,2.5,5.0,0.5,1.0,8.2,Yes,0,0,Italy,2,Yes,No,No,No,No,0
164,2023-01-18,1.2,2.4,0.4,0.8,8.9,Yes,0,0,Israel,1,No,No,No,No,No,0
183,2023-01-18,2.4,4.8,0.2,0.4,8.6,Yes,0,0,Italy,2,Yes,No,No,No,No,0
190,2023-01-18,0.9,1.8,0.0,0.0,8.7,No,0,0,France,2,Yes,No,No,No,No,0
198,2023-01-18,0.9,1.8,0.2,0.4,8.9,Yes,0,0,UK,2,Yes,No,No,No,No,0
11,2023-01-19,0.5,1.0,0.1,0.2,8.3,Yes,0,0,USA,2,Yes,No,No,No,No,0
13,2023-01-19,3.0,6.0,0.4,0.8,8.6,Yes,0,0,USA,2,Yes,No,No,No,No,0
15,2023-01-19,0.2,0.4,0.3,0.6,8.9,Yes,1,0,Japan,2,Yes,No,No,No,No,0
39,2023-01-19,1.7,3.4,0.5,1.0,8.2,Yes,0,0,UK,2,Yes,No,Yes,No,No,0
44,2023-01-19,1.5,3.0,0.1,0.2,8.7,Yes,1,0,Spain,2,Yes,No,No,No,No,0
68,2023-01-19,7.4,14.8,3.2,6.4,11.2,Yes,1,2,Ukraine,7,Yes,No,No,No,Yes,1
90,2023-01-19,0.3,0.6,0.3,0.6,8.3,Yes,1,0,USA,2,Yes,No,No,No,No,0
92,2023-01-19,1.6,3.2,0.1,0.2,8.3,Yes,0,0,USA,2,Yes,No,No,No,No,0
